file,column
bus.csv,bus_i
bus.csv,type
bus.csv,Pd_MW
bus.csv,Qd_MVAr
bus.csv,Gs_MW
bus.csv,Bs_MVAr
bus.csv,area
bus.csv,Vm_pu
bus.csv,Va_deg
bus.csv,baseKV
bus.csv,zone
bus.csv,Vmax_pu
bus.csv,Vmin_pu
generator.csv,gen_id
generator.csv,bus
generator.csv,Pg_MW
generator.csv,Qg_MVAr
generator.csv,Qmax_MVAr
generator.csv,Qmin_MVAr
generator.csv,Vg_pu
generator.csv,mBase_MVA
generator.csv,status
generator.csv,Pmax_MW
generator.csv,Pmin_MW
generator.csv,Pc1
generator.csv,Pc2
generator.csv,Qc1min
generator.csv,Qc1max
generator.csv,Qc2min
generator.csv,Qc2max
generator.csv,ramp_agc
generator.csv,ramp_10
generator.csv,ramp_30
generator.csv,ramp_q
generator.csv,apf
branch.csv,branch_id
branch.csv,from_bus
branch.csv,to_bus
branch.csv,r_pu
branch.csv,x_pu
branch.csv,b_pu
branch.csv,rateA_MVA
branch.csv,rateB_MVA
branch.csv,rateC_MVA
branch.csv,tap_ratio
branch.csv,shift_deg
branch.csv,status
branch.csv,angmin_deg
branch.csv,angmax_deg
area.csv,area
area.csv,refbus
gencost.csv,gen_id
gencost.csv,model
gencost.csv,startup
gencost.csv,shutdown
gencost.csv,n
gencost.csv,c2
gencost.csv,c1
gencost.csv,c0
orpd_controls.csv,control_id
orpd_controls.csv,variable_name
orpd_controls.csv,control_type
orpd_controls.csv,bus
orpd_controls.csv,from_bus
orpd_controls.csv,to_bus
orpd_controls.csv,initial_value
orpd_controls.csv,min_value
orpd_controls.csv,max_value
orpd_controls.csv,unit
orpd_controls.csv,source_row_id
orpd_controls.csv,description
system_metadata.csv,parameter
system_metadata.csv,value
system_metadata.csv,unit_or_note
